Area,Area Latitude,Area Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Al Hajar,26.2254047,50.5901377,Happy Town Shawarma,26.226650020293444,50.58874448120895,Shawarma Place
Al Hajar,26.2254047,50.5901377,Quick Stomach,26.227418356102152,50.58807096677252,Asian Restaurant
Al Hajar,26.2254047,50.5901377,akbar resturant,26.227209575671733,50.58793435612849,Indian Restaurant
Al Hajar,26.2254047,50.5901377,Honey Thai Restaurant 2,26.225589,50.593736,Thai Restaurant
Al Hajar,26.2254047,50.5901377,Supreme Broasted,26.229717038747008,50.590835,Fast Food Restaurant
Al Hajar,26.2254047,50.5901377,mawardi cafe,26.22506332397461,50.585811614990234,Café
Al Hajar,26.2254047,50.5901377,New Cabalen,26.226594,50.587396,Asian Restaurant
Al Hajar,26.2254047,50.5901377,La Meza Restaurant,26.226246727843645,50.58598780197717,Asian Restaurant
Al Hajar,26.2254047,50.5901377,En Brosted,26.22620510403067,50.58488500455572,Asian Restaurant
Al Hajar,26.2254047,50.5901377,Lolita's Bakery (Pandesal Station),26.227405428354942,50.58634058738391,Bakery
Al Hajar,26.2254047,50.5901377,Albahar restaurant,26.229096987907674,50.58705398359794,Seafood Restaurant
Al Hajar,26.2254047,50.5901377,South Park Restaurant,26.227897226964977,50.585778983337434,Indian Restaurant
Al Hajar,26.2254047,50.5901377,Sakeena,26.2292462,50.5930009,Indian Restaurant
Al Hajar,26.2254047,50.5901377,Lahore Grills exhibition road,26.226000656727475,50.59583802673906,Restaurant
Al Hajar,26.2254047,50.5901377,Al Nozah Grills,26.229228,50.591644,Asian Restaurant
Al Hajar,26.2254047,50.5901377,karak palace,26.229412,50.590492,Café
Al Hajar,26.2254047,50.5901377,Jasmis,26.22603951960731,50.59510934940603,Fast Food Restaurant
Al Hajar,26.2254047,50.5901377,Thai Beach Restaurant,26.225034863270825,50.58484804722611,Thai Restaurant
Al Hajar,26.2254047,50.5901377,Top Thai,26.22662,50.58585,Thai Restaurant
Al Hajar,26.2254047,50.5901377,Al Jamaheer,26.2293450187423,50.58950792648188,Coffee Shop
Al Hajar,26.2254047,50.5901377,مطعم ريف اليمن,26.226102,50.59641,Breakfast Spot
Al Hajar,26.2254047,50.5901377,El 3tee8 Coffee Shop,26.224429782715738,50.596378588607514,Coffee Shop
Al Hajar,26.2254047,50.5901377,Ramsis Star,26.229809748158644,50.59062108703223,Breakfast Spot
Al Hajar,26.2254047,50.5901377,تكة الإبل الجديدة,26.229459666415437,50.591622948506235,Middle Eastern Restaurant
Al Hajar,26.2254047,50.5901377,المقهى العتيق,26.2244636355547,50.596362407553684,Café
Al Hajar,26.2254047,50.5901377,مندي و مضبي و مضغوط,26.22682920681102,50.59636429899212,Restaurant
Al Hajar,26.2254047,50.5901377,مطعم كراتشي,26.22926409722457,50.588060847455296,Indian Restaurant
Al Hajar,26.2254047,50.5901377,Karachi Restaurant,26.22980993753892,50.588220299196145,Indian Restaurant
Al Hajar,26.2254047,50.5901377,quidabiya,26.227364,50.5939,Indian Restaurant
Al Hajar,26.2254047,50.5901377,تكه ابل شارع المعارض,26.229548,50.591901,Burmese Restaurant
Al Kharijiya,26.16023,50.60914,Sub Corner,26.15922,50.61171,Fast Food Restaurant
Al Kharijiya,26.16023,50.60914,Alkharjiya gate cold store,26.159032608348035,50.60966932786663,Food Court
Al Kharijiya,26.16023,50.60914,Planet Donut & Bakery,26.157181025356653,50.60805916786194,Bakery
Al Kharijiya,26.16023,50.60914,سندويشات أبو الفلافل,26.16509831755263,50.60889999832563,Cafeteria
Al Kharijiya,26.16023,50.60914,مضيف حب الحسين اجنني,26.160326052559604,50.60957822255802,Wings Joint
Al Kharijiya,26.16023,50.60914,Althahabi Traditional Food | مطعم الذهبي,26.157426,50.607789,Middle Eastern Restaurant
Al Kharijiya,26.16023,50.60914,papa jone,26.16278839111328,50.609928131103516,Fast Food Restaurant
Al Kharijiya,26.16023,50.60914,سمبوسة الخارجية,26.162689426727976,50.611774909793255,Asian Restaurant
Al Kharijiya,26.16023,50.60914,Losta Pasta,26.16501,50.609293,Asian Restaurant
Al Kharijiya,26.16023,50.60914,Shisha Time,26.15920051123662,50.613637599109865,Café
Al Kharijiya,26.16023,50.60914,Kebab Iraqi,26.156333,50.60898,Diner
Al Kharijiya,26.16023,50.60914,Sub Corner Cafeteria,26.159133022136444,50.61164837041375,Cafeteria
Al Kharijiya,26.16023,50.60914,Al-taliah Sandwiches,26.162419,50.614047,Breakfast Spot
Al Kharijiya,26.16023,50.60914,abo alfalafel sandwiches,26.16278839111328,50.609928131103516,Falafel Restaurant
Al Kharijiya,26.16023,50.60914,خباز الخارجية,26.162803649902344,50.609962463378906,Bakery
Al Kharijiya,26.16023,50.60914,Al Karawan Pastrıes,26.161978,50.610863,Pizza Place
Al Markh,25.1595435,51.6038783,Mcdonalds Drive Thru,25.162716,51.607489,Fast Food Restaurant
Al Markh,25.1595435,51.6038783,Antakya Barbeque,25.155424504028854,51.59951471031216,BBQ Joint
Al Markh,25.1595435,51.6038783,Al Warish Multicuisine Restaurant,25.15669150451113,51.60511381289216,Middle Eastern Restaurant
Al Markh,25.1595435,51.6038783,yum yum tree,25.16082551053757,51.59864772018062,Italian Restaurant
Al Markh,25.1595435,51.6038783,Marmaris Restaurant,25.15848199794732,51.5992714277748,Turkish Restaurant
Al Markh,25.1595435,51.6038783,Al Barq Restaurant,25.157754225376717,51.59937756560438,Indian Restaurant
Al Markh,25.1595435,51.6038783,Quzi restaurant (pakistani),25.162357189982128,51.60771995972824,Asian Restaurant
